book_id,title,author_id,genre,publish_year,isbn,pages,language
1,A Design 926,230,Non-Fiction,2011,9780000000001,313,Telugu
2,Introduction to Design 904,237,Non-Fiction,2020,9780000000002,319,Hindi
3,Introduction to Innovation 82,209,History,1996,9780000000003,420,Bengali
4,A Time 768,174,Biography,1998,9780000000004,224,English
5,Chronicles of Success 957,28,Self-Help,2008,9780000000005,898,Tamil
6,The History 488,823,Business,2000,9780000000006,686,English
7,Mastering India 618,667,History,2020,9780000000007,841,Tamil
8,Chronicles of Design 673,709,Non-Fiction,2006,9780000000008,234,Oriya
9,Chronicles of Innovation 827,655,Technology,1996,9780000000009,779,Kannada
10,Tales of Design 817,921,Non-Fiction,2023,9780000000010,564,Bengali
11,Mastering Innovation 77,96,Fantasy,2023,9780000000011,140,Bengali
12,An Design 196,790,Non-Fiction,2006,9780000000012,814,Telugu
13,A Dreams 134,642,Romance,1998,9780000000013,427,Kannada
14,Mastering Success 381,561,Fantasy,2024,9780000000014,361,Oriya
15,Guide to Business 178,221,Fiction,1992,9780000000015,798,Oriya
16,Tales of Data 411,314,Technology,2006,9780000000016,286,Telugu
17,A Dreams 129,322,Science,2023,9780000000017,120,Hindi
18,Secrets of Business 897,462,Technology,2022,9780000000018,260,Bengali
19,An Science 270,294,Thriller,2006,9780000000019,446,Telugu
20,Introduction to Business 967,313,Thriller,2005,9780000000020,658,Tamil
21,Secrets of Time 246,857,Health,2001,9780000000021,627,Telugu
22,Chronicles of Design 736,241,Health,1996,9780000000022,473,Oriya
23,Tales of Innovation 471,568,Technology,2002,9780000000023,778,Oriya
24,An Design 514,776,Technology,2017,9780000000024,576,Kannada
25,Chronicles of Science 784,172,Biography,2014,9780000000025,140,Kannada
26,Mastering Future 721,448,Science,2021,9780000000026,340,Telugu
27,An Dreams 818,998,Comics,1992,9780000000027,506,Hindi
28,A History 364,126,Biography,2010,9780000000028,172,Oriya
29,An Mathematics 104,915,Children,2024,9780000000029,557,Telugu
30,Tales of History 176,71,Science,2005,9780000000030,706,English
31,A Data 876,191,Children,2006,9780000000031,274,Tamil
32,The Innovation 298,761,History,1998,9780000000032,725,Telugu
33,Secrets of Time 618,742,Non-Fiction,2005,9780000000033,565,Kannada
34,Tales of Success 171,12,Health,2022,9780000000034,96,Hindi
35,Secrets of History 289,940,Non-Fiction,2024,9780000000035,819,Hindi
36,Mastering Mathematics 500,188,Mystery,2021,9780000000036,185,English
37,A Love 393,47,Fiction,2014,9780000000037,293,Kannada
38,Chronicles of Science 578,838,Self-Help,2014,9780000000038,785,Oriya
39,Introduction to India 874,410,Health,1997,9780000000039,806,Telugu
40,The Design 758,264,Fiction,1991,9780000000040,415,Oriya
41,Secrets of History 192,506,Health,2014,9780000000041,369,Tamil
42,An Success 492,901,Self-Help,1995,9780000000042,616,Telugu
43,A India 745,15,Comics,2003,9780000000043,588,Bengali
44,An Design 920,31,Thriller,1995,9780000000044,369,Bengali
45,Chronicles of Business 162,260,Children,2011,9780000000045,723,Hindi
46,An History 438,752,Business,2000,9780000000046,466,Tamil
47,Mastering Success 774,477,History,1998,9780000000047,755,Hindi
48,Guide to Future 683,576,Fantasy,1997,9780000000048,799,Tamil
49,A Science 106,910,Children,1999,9780000000049,315,Kannada
50,A Future 675,152,Fiction,1998,9780000000050,117,Tamil
51,Guide to Life 205,894,Technology,2001,9780000000051,272,Oriya
52,Tales of Design 27,553,Thriller,2000,9780000000052,637,Hindi
53,Chronicles of Science 578,471,Thriller,2010,9780000000053,754,Bengali
54,Guide to Science 373,169,Thriller,2007,9780000000054,461,Bengali
55,Chronicles of Science 2,597,Fantasy,2007,9780000000055,722,English
56,Chronicles of Time 268,595,Fiction,2016,9780000000056,872,Oriya
57,A Time 234,319,Fantasy,2016,9780000000057,96,Hindi
58,A Success 472,460,Biography,1999,9780000000058,319,Telugu
59,Tales of Innovation 395,758,Technology,2008,9780000000059,864,Oriya
60,Guide to Success 79,128,Comics,2007,9780000000060,257,Hindi
61,Guide to India 702,19,Business,2001,9780000000061,106,Kannada
62,The Science 144,490,Technology,2023,9780000000062,388,Kannada
63,An Dreams 459,131,Fantasy,2014,9780000000063,151,Kannada
64,Secrets of Data 469,808,Technology,2002,9780000000064,118,Oriya
65,Secrets of Business 838,993,Business,1999,9780000000065,850,Tamil
66,A Science 929,465,Science,2007,9780000000066,193,Telugu
67,Guide to Life 145,835,Fiction,2023,9780000000067,689,English
68,Introduction to Success 209,54,Biography,2016,9780000000068,316,Tamil
69,An Future 969,304,Comics,1994,9780000000069,521,Oriya
70,The Innovation 773,231,Non-Fiction,2007,9780000000070,747,Bengali
71,A Future 244,115,Thriller,2014,9780000000071,365,Hindi
72,A Success 488,558,Biography,1995,9780000000072,210,Tamil
73,Mastering Innovation 249,571,Fantasy,2013,9780000000073,584,Oriya
74,Mastering Algorithms 237,63,Health,1995,9780000000074,307,Oriya
75,Guide to Success 980,838,Fiction,1996,9780000000075,350,Kannada
76,Guide to Algorithms 582,198,Technology,1995,9780000000076,715,Telugu
77,The Success 893,469,Non-Fiction,2006,9780000000077,853,English
78,A Life 984,389,Children,2015,9780000000078,714,Tamil
79,Introduction to Love 136,288,Fantasy,2024,9780000000079,269,Bengali
80,Chronicles of Love 50,569,Fiction,2021,9780000000080,696,Telugu
81,Guide to History 274,333,Biography,2014,9780000000081,893,Kannada
82,The Future 55,87,Health,1998,9780000000082,339,Telugu
83,A Algorithms 322,718,Science,1990,9780000000083,540,Hindi
84,Tales of History 600,640,Technology,2013,9780000000084,862,Telugu
85,Mastering Success 411,629,Romance,2003,9780000000085,446,Oriya
86,Guide to Life 568,469,Fantasy,2016,9780000000086,614,Hindi
87,An Algorithms 263,877,Fiction,2020,9780000000087,842,Telugu
88,Mastering Dreams 628,609,Non-Fiction,2022,9780000000088,126,English
89,Introduction to Algorithms 494,672,Romance,1990,9780000000089,331,English
90,Secrets of Mathematics 751,834,Thriller,2015,9780000000090,459,Tamil
91,A Time 570,768,Non-Fiction,2023,9780000000091,219,English
92,The Mathematics 716,399,Non-Fiction,1999,9780000000092,332,Tamil
93,The Love 882,349,History,1990,9780000000093,750,Kannada
94,An Life 636,253,Technology,2007,9780000000094,138,Kannada
95,The Future 384,854,Romance,2017,9780000000095,158,Tamil
96,Mastering Business 337,662,Fiction,1998,9780000000096,372,Kannada
97,Chronicles of Dreams 502,688,Comics,2013,9780000000097,297,Oriya
98,Chronicles of Design 585,594,Science,2014,9780000000098,792,English
99,Guide to Science 440,758,Fantasy,2021,9780000000099,103,Tamil
100,An Science 938,844,Mystery,2008,9780000000100,560,English
101,Secrets of Data 711,860,Science,2007,9780000000101,211,Hindi
102,A Mathematics 235,873,Comics,2004,9780000000102,410,Telugu
103,Tales of Life 913,596,Romance,2015,9780000000103,128,Telugu
104,Tales of Future 119,856,Business,2007,9780000000104,870,Telugu
105,Chronicles of Science 2,912,History,2005,9780000000105,239,Telugu
106,Introduction to Innovation 235,670,Non-Fiction,1990,9780000000106,380,Hindi
107,The Mathematics 343,1000,Comics,2012,9780000000107,779,Kannada
108,A Algorithms 764,50,History,1998,9780000000108,463,Oriya
109,A Dreams 160,507,Technology,2003,9780000000109,805,Tamil
110,Tales of Mathematics 519,772,Science,2007,9780000000110,131,Hindi
111,An History 801,896,Mystery,1995,9780000000111,320,Hindi
112,Mastering Algorithms 606,269,Health,2013,9780000000112,218,Bengali
113,Tales of Science 227,674,History,2014,9780000000113,589,Hindi
114,Guide to Dreams 811,874,Business,2013,9780000000114,598,Bengali
115,The Business 732,331,Comics,2018,9780000000115,116,Tamil
116,Tales of Success 46,898,Fiction,2005,9780000000116,267,Oriya
117,Mastering Success 604,489,Technology,1992,9780000000117,760,Hindi
